id,name,price,accommodates,bedrooms,room_type,review_scores_rating,neighbourhood,number_of_reviews
1491009716934169442,Wagyu Studio,$178.33,2,1.0,Entire home/apt,5.0,Sydney,6
16354049,"Quaint 1 Bedroom Unit, Wanda Beach",$221.00,3,1.0,Entire home/apt,4.67,Sutherland Shire,72
33841425,"Neat & Clean Accommodation,  very close to pub trn",$37.12,2,,Private room,,Blacktown,0
1662666795889395594,Modern Double Room | Near Station & Easy M2/M7,$101.00,2,1.0,Private room,3.5,Blacktown,2
1069348675081295932,North Newtown Design Haven - 3 night min. stay,$112.70,2,1.0,Entire home/apt,,Sydney,0
1544388096326693584,500m to Bondi Beach,$426.00,2,1.0,Entire home/apt,4.5,Waverley,4
1439670561758453750,Carino Cottage,$142.00,2,1.0,Entire home/apt,4.94,Hornsby,18
687061339727999248,'Sea Glass': Manly apartment near beaches & ferry,$216.82,2,1.0,Entire home/apt,5.0,Manly,73
907039855631321102,Light Filled House in Enmore,$425.50,4,2.0,Entire home/apt,4.94,Marrickville,115
1417826709940360479,A cozy leafy house in Baulkham Hills,$66.76,2,,Private room,4.0,The Hills Shire,1
816223317076648257,Beach Pad- Ocean views from beachfront block,$233.48,5,2.0,Entire home/apt,4.76,Warringah,55
974830662224601472,A Comfy Studio for 6 Next to Darling Harbour,$336.70,6,,Entire home/apt,4.33,Sydney,33
1632146687484694730,Grom's,$257.00,2,1.0,Entire home/apt,5.0,Mosman,1
1686119251062978348,Mascot阳光轻奢双卧公寓｜近火车站＆机场｜生活交通便利,$185.71,4,2.0,Entire home/apt,,Botany Bay,0
548749381765316384,Cosy Hotel Room,$330.00,2,1.0,Private room,4.71,Woollahra,35
31032881,Beachfront paradise retreat - Apt. 5,$270.33,2,1.0,Entire home/apt,4.86,Warringah,36
1469529865244231651,Urban Retreat Close to CBD with Gym and Pool,$329.00,4,2.0,Entire home/apt,4.57,Sydney,7
1130090615781437723,Guest suite with own entrance.,$175.50,2,,Private room,4.91,Canada Bay,11
